N,family,alpha_star,is_min_over_families,recorded_bracket_lo,recorded_bracket_hi,symmetry,closest_pair_over_size,circulation_span,redHess_min,source
49,S,1.0417163157,1,1.0416992187500003,1.0417968750000002,none,0.012,68.71,0.00493,"recorded SQG-family threshold, polished (KKT)"
50,S,1.0371296050,1,1.037109375,1.03720703125,none,0.01174,69.69,0.00475,"recorded SQG-family threshold, polished (KKT)"
51,E-odd(C2),1.1168973019,0,,,C2 (centre + pairs),0.02907,29.49,0.000211,new: C2 pair growth (reduced symmetric system)
51,S,1.0327131069,1,1.0326171874999999,1.03271484375,none,0.0115,70.64,0.00458,"recorded SQG-family threshold, polished (KKT)"
52,S,1.0284568953,1,1.02841796875,1.0285156249999998,none,0.01127,71.62,0.00442,"recorded SQG-family threshold, polished (KKT)"
53,E-odd(C2),1.1024064493,0,,,C2 (centre + pairs),0.02788,30.65,0.000181,new: C2 pair growth (reduced symmetric system)
53,S,1.0243518201,1,1.02431640625,1.0244140625,none,0.01104,72.59,0.00428,"recorded SQG-family threshold, polished (KKT)"
54,S,1.0203894318,1,1.0203124999999997,1.0204101562499996,none,0.01082,73.55,0.00413,"recorded SQG-family threshold, polished (KKT)"
55,E-odd(C2),1.0890262769,0,,,C2 (centre + pairs),0.02676,31.77,0.000156,new: C2 pair growth (reduced symmetric system)
55,S,1.0165619150,1,1.01650390625,1.0166015625,none,0.01062,74.53,0.004,"recorded SQG-family threshold, polished (KKT)"
56,S,1.0128620293,1,1.01279296875,1.0128906249999998,none,0.01042,75.49,0.00387,"recorded SQG-family threshold, polished (KKT)"
57,E-odd(C2),1.0766285454,0,,,C2 (centre + pairs),0.02576,32.9,0.000135,new: C2 pair growth (reduced symmetric system)
57,S,1.0092830565,1,1.00927734375,1.009375,none,0.01023,76.46,0.00376,"recorded SQG-family threshold, polished (KKT)"
58,S,1.0058187540,1,1.00576171875,1.005859375,none,0.01004,77.43,0.00364,"recorded SQG-family threshold, polished (KKT)"
59,E-odd(C2),1.0651042900,0,,,C2 (centre + pairs),0.02479,34.04,0.000118,new: C2 pair growth (reduced symmetric system)
59,S,1.0024633131,1,1.00244140625,1.0025390625000001,none,0.009861,78.39,0.00353,"recorded SQG-family threshold, polished (KKT)"
60,S,0.9992113209,1,,,none,0.009687,79.37,0.00343,new: Z-growth by tracer insertion (grow_z_a1_from59.json)
61,E-odd(C2),1.0543603103,0,,,C2 (centre + pairs),0.02392,35.16,0.000103,new: C2 pair growth (reduced symmetric system)
61,S,0.9960577273,1,,,none,0.00952,80.34,0.00333,new: Z-growth by tracer insertion (growfast_a1_sqg_part1.json)
62,S,0.9929978141,1,,,none,0.00936,81.3,0.00324,new: Z-growth by tracer insertion (growfast_a1_sqg_part1.json)
63,E-odd(C2),1.0443164024,0,,,C2 (centre + pairs),0.02309,36.3,9.09e-05,new: C2 pair growth (reduced symmetric system)
63,S,0.9900271686,1,,,none,0.009203,82.27,0.00315,new: Z-growth by tracer insertion (growfast_a1_sqg_part1.json)
64,S,0.9871416582,1,,,none,0.009054,83.24,0.00307,new: Z-growth by tracer insertion (growfast_a1_sqg_part1.json)
65,E-odd(C2),1.0349031556,0,,,C2 (centre + pairs),0.02233,37.44,8.04e-05,new: C2 pair growth (reduced symmetric system)
65,S,0.9843374085,1,,,none,0.008906,84.2,0.00299,new: Z-growth by tracer insertion (growfast_a1_sqg2.json)
66,S,0.9816107835,1,,,none,0.008767,85.18,0.00291,new: Z-growth by tracer insertion (growfast_a1_sqg2.json)
67,E-odd(C2),1.0260601847,0,,,C2 (centre + pairs),0.02161,38.56,7.14e-05,new: C2 pair growth (reduced symmetric system)
67,S,0.9789583666,1,,,none,0.008628,86.14,0.00284,new: Z-growth by tracer insertion (growfast_a1_sqg2.json)
68,S,0.9763769447,1,,,none,0.008496,87.11,0.00276,new: Z-growth by tracer insertion (growfast_a1_sqg2.json)
69,E-odd(C2),1.0177346987,0,,,C2 (centre + pairs),0.02093,39.7,6.36e-05,new: C2 pair growth (reduced symmetric system)
69,S,0.9738634928,1,,,none,0.008367,88.07,0.0027,new: Z-growth by tracer insertion (growfast_a1_sqg2.json)
70,S,0.9714151600,1,,,none,0.008242,89.03,0.00263,new: Z-growth by tracer insertion (growfast_a1_sqg2.json)
71,E-odd(C2),1.0098803356,0,,,C2 (centre + pairs),0.02031,40.82,5.69e-05,new: C2 pair growth (reduced symmetric system)
71,S,0.9690292576,1,,,none,0.008121,90.01,0.00257,new: Z-growth by tracer insertion (growfast_a1_sqg2.json)
72,S,0.9667032469,1,,,none,0.008003,90.97,0.00251,new: Z-growth by tracer insertion (growfast_a1_sqg2.json)
73,E-odd(C2),1.0024562050,0,,,C2 (centre + pairs),0.0197,41.96,5.11e-05,new: C2 pair growth (reduced symmetric system)
73,S,0.9644347291,1,,,none,0.007889,91.93,0.00245,new: Z-growth by tracer insertion (growfast_a1_sqg2.json)
75,E-odd(C2),0.9954260983,1,,,C2 (centre + pairs),0.01915,43.1,4.61e-05,new: C2 pair growth (reduced symmetric system)
77,E-odd(C2),0.9887578317,1,,,C2 (centre + pairs),0.01861,44.21,4.16e-05,new: C2 pair growth (reduced symmetric system)
79,E-odd(C2),0.9824226979,1,,,C2 (centre + pairs),0.01811,45.36,3.77e-05,new: C2 pair growth (reduced symmetric system)
